weight,num,max
1,135,8.83E-10
1.1,131,8.51E-10
1.2,129,8.2E-10
1.3,129,7.91E-10
1.4,124,7.69E-10
1.5,122,7.51E-10
1.6,117,7.32E-10
1.7,116,7.15E-10
1.8,116,6.98E-10
1.9,114,6.81E-10
2,106,6.65E-10
2.1,106,6.5E-10
2.2,104,6.35E-10
2.3,102,6.2E-10
2.4,100,6.06E-10
2.5,100,5.92E-10
2.6,100,5.78E-10
2.7,99,5.65E-10
2.8,97,5.53E-10
2.9,97,5.4E-10
3,96,5.28E-10
3.1,94,5.16E-10
3.2,92,5.05E-10
3.3,92,4.94E-10
3.4,92,4.83E-10
3.5,92,4.72E-10
3.6,92,4.61E-10
3.7,92,4.51E-10
3.8,89,4.41E-10
3.9,89,4.32E-10
4,89,4.22E-10
4.1,87,4.13E-10
4.2,86,4.04E-10
4.3,85,3.95E-10
4.4,85,3.86E-10
4.5,85,3.78E-10
4.6,83,3.7E-10
4.7,83,3.62E-10
4.8,83,3.54E-10
4.9,83,3.46E-10
5,83,3.38E-10
5.1,75,3.31E-10
5.2,74,3.24E-10
5.3,74,3.16E-10
5.4,72,3.09E-10
5.5,70,3.03E-10
5.6,70,2.96E-10
5.7,68,2.89E-10
5.8,64,2.83E-10
5.9,64,2.76E-10
6,64,2.7E-10
6.1,64,2.64E-10
6.2,64,2.58E-10
6.3,62,2.52E-10
6.4,62,2.46E-10
6.5,62,2.41E-10
6.6,62,2.35E-10
6.7,62,2.29E-10
6.8,61,2.24E-10
6.9,61,2.19E-10
7,57,2.13E-10
7.1,57,2.08E-10
7.2,57,2.03E-10
7.3,57,1.98E-10
7.4,56,1.93E-10
7.5,55,1.89E-10
7.6,55,1.84E-10
7.7,55,1.79E-10
7.8,51,1.75E-10
7.9,51,1.7E-10
8,49,1.66E-10
8.1,49,1.61E-10
8.2,49,1.57E-10
8.3,49,1.53E-10
8.4,47,1.49E-10
8.5,45,1.45E-10
8.6,43,1.41E-10
8.7,43,1.37E-10
8.8,43,1.35E-10
8.9,43,1.33E-10
9,43,1.32E-10
9.1,43,1.3E-10
9.2,43,1.28E-10
9.3,43,1.27E-10
9.4,43,1.25E-10
9.5,43,1.24E-10
9.6,43,1.22E-10
9.7,43,1.21E-10
9.8,43,1.19E-10
9.9,43,1.18E-10
10,43,1.16E-10
10.1,43,1.15E-10
10.2,43,1.13E-10
10.3,41,1.12E-10
10.4,41,1.1E-10
10.5,41,1.09E-10
10.6,41,1.08E-10
10.7,41,1.06E-10
10.8,41,1.05E-10
10.9,41,1.04E-10
11,39,1.02E-10
11.1,39,1.01E-10
11.2,39,9.99E-11
11.3,39,9.87E-11
11.4,39,9.75E-11
11.5,39,9.63E-11
11.6,37,9.51E-11
11.7,37,9.39E-11
11.8,37,9.27E-11
11.9,37,9.16E-11
12,35,9.05E-11
12.1,35,8.93E-11
12.2,35,8.82E-11
12.3,35,8.71E-11
12.4,35,8.6E-11
12.5,35,8.5E-11
12.6,35,8.39E-11
12.7,35,8.29E-11
12.8,35,8.18E-11
12.9,34,8.08E-11
13,34,7.98E-11
13.1,34,7.89E-11
13.2,34,7.8E-11
13.3,34,7.72E-11
13.4,32,7.64E-11
13.5,32,7.56E-11
13.6,32,7.48E-11
13.7,32,7.4E-11
13.8,32,7.32E-11
13.9,32,7.24E-11
14,32,7.16E-11
14.1,32,7.09E-11
14.2,32,7.01E-11
14.3,32,6.93E-11
14.4,32,6.86E-11
14.5,32,6.79E-11
